date,topic,slides,required_reading,optional_reading,disc_leaders,table_class,,
Monday 4/2,Why ethics in technology?,"[<a href=""https://docs.google.com/presentation/d/14Y4lfjLUw4cNIUbG320QrFDkU9-tVNN8q50vgOAggQY/edit#slide=id.p"">gdoc</a>]",None,"Read on next entry what you need to do for Friday Watch an interesting video on the progression of information technologies. Do compare the <a href=""http://www.youtube.com/watch?v=cL9Wu2kWwSY"">Did you know? (2008)</a> version with the <a href=""https://www.youtube.com/watch?annotation_id=annotation_1871640555&feature=iv&src_vid=XrJjfDUzD7M&v=uqZiIO0YI7Y"">Did you know (2016)</a> version!",Sam,,,"Suggestions- ""5 Things About Technological Change"" - Neil Postman"
Wednesday 4/4,Discuss the Terrell Bynum paper,"[<a href=""https://docs.google.com/presentation/d/12SE53DzYU78f9upwKEa5a1-7REnw7vFb2WKUGauBCow/edit#slide=id.p"">gdoc</a>]","Read the <a href=""http://plato.stanford.edu/entries/ethics-computer/"">History of Computer and Information Ethics</a> [<a href=""/assets/ecs188/computer_and_information_ethics.pdf"">pdf</a>] by Terrell Bynum","Additional reading material:
<ul>
<li><a href=""http://plato.stanford.edu/entries/morality-definition/"">The definition of morality</a> [<a href=""/assets/ecs188/the_definition_of_morality.pdf"">pdf</a>] for a philosophical definition of morality as a foundation to ethics.</li>
<li><a href=""http://stanford.library.usyd.edu.au/archives/spr2006/entries/ethics-computer/"">Computer Ethics: Basic Concepts and Historical Overview</a> [<a href=""/assets/ecs188/computer_ethics_basic_concepts.pdf"">pdf</a>] for an older overview.</li>
<li><a href=""/assets/ecs188/weiner_humanuse.pdf"">The human use of human beings (Weiner, 2nd edition)</a>.</li>
</ul>",Sam,,,
Friday 4/6,Discuss if we should allow students to take smart drugs,"[<a href=""https://docs.google.com/presentation/d/1eJRUNkPpAyPs4KJaSgSDzXzzmJPYTPYItewV5YYSrTo/edit#slide=id.p"">gdoc</a>]","Come to class prepared to debate both positions: <i>""Yes, students should be allowed""</i> and <i>""No, students should not be allowed""</i>. Read <a href=""/assets/ecs188/Greely_08.pdf"">Towards responsible use of cognitive-enhancing drugs by the healthy</a> (Greely et al, 2008).","Possible reading to support your arguments:
<ul>
<li><a href=""http://www.mercurynews.com/2016/07/09/hacking-the-brain-silicon-valley-entrepreneurs-turn-to-fasting-and-smart-drugs/"">Hacking the brain</a> [<a href=""/assets/ecs188/hacking_the_brain.pdf"">pdf</a>] ; an article in the Mercury news on smart drugs in Silicon Valley.</li>
<li><a href=""/assets/ecs188/Husain_2011.pdf"">Cognitive enhancement by drugs in health and disease (a review)</a> (Husain and Mehta, 2011).</li>
<li><a href=""/assets/ecs188/Dubljevic_13.pdf"">Regulation of Amphetamine and Methylphenidate for Enhancement Use by Healthy Adults</a> (Dubljevic, 2013).</li>
<li><a href=""/assets/ecs188/Greely_13.pdf"">Some First Steps Toward Responsible Use of Cognitive-Enhancing Drugs by the Healthy</a> (Greely, 2013). A commentary on the paper by Dubljevic.</li>
</ul>",Sam,,,
Friday 4/6 Discussion,No discussion,,,,,table-danger,,
Monday 4/9,Influence of socail media and advertising platforms,"[<a href=""https://docs.google.com/presentation/d/16GNIhbQwwvxX7KIQN4S_8VEzgmOxNAj-11D4wPGTtPk/edit#slide=id.p"">gdoc</a>]","Read <a href=""https://www.nytimes.com/2018/03/27/opinion/zuckerberg-facebook-digital-bullies.html"">How Mark Zuckerberg Can Save Facebook — and Us</a>",,Sam,,,
Wednesday 4/11,Discuss if Apple should comply to the FBI,"[<a href=""https://docs.google.com/presentation/d/1ToupNSVZyOiE0dV92NDV7bKlgCeKHRy22SwGiQc3uHk/edit#slide=id.p"">gdoc</a>]","Read the <a href=""http://www.apple.com/customer-letter/"">Apple letter</a> to its customers about the case and the article from Wired magazine on <a href=""http://www.wired.com/2016/02/apple-fbi-privacy-security/"">The Apple-FBI fight is not about privacy versus security. Do not be misled.</a>
<br><br>
Come to class prepared to debate both positions: <i>""Yes, Apple should comply""</i> and <i>""No, Apple should not comply""</i>","Possible readings to support your arguments:
<ul>
<li>In support of the FBI: transcript of a NPR <a href=""http://www.npr.org/2016/02/24/467711098/transcript-nprs-interview-with-cia-director-john-brennan"">interview with CIA director John Brennan</a></li>
<li>A view from our Canadian neighbours: <a href=""http://www.cbc.ca/news/technology/apple-fbi-explainer-1.3459952"">Apple's privacy fight with the FBI explained</a></li>
</ul>",Sam,,,
Friday 4/13,Gender and bias in tech,"[<a href=""https://docs.google.com/presentation/d/110pnr4OTMWewgtUq_XHDqLEhyH6Yk6aO6_mTfIEWc5c/edit#slide=id.p"">gdoc</a>]","(a) Read <a href=""https://www.theatlantic.com/magazine/archive/2017/04/why-is-silicon-valley-so-awful-to-women/517788/https://www.theatlantic.com/magazine/archive/2017/04/why-is-silicon-valley-so-awful-to-women/517788/"">Why Is Silicon Valley So Awful to Women?</a> [<a href=""/assets/ecs188/mundy.pdf"">pdf</a>] by Lizy Mundy (2017). (b) Read <a href=""/assets/ecs188/damore.pdf"">Google’s Ideological Echo Chamber</a> by James Damore (2017). (c) spend an hour or so to research reaction to (b) and to form your own opinion on it.","Listen to <a href=""https://www.npr.org/2017/10/09/556116385/nature-nurture-and-our-evolving-debates-about-gender"">The Edge of Gender</a> by Shankar Vedantam (2017).",Sam,,,
Friday 4/13 Discussion,No discussion,,,,,table-danger,,
Monday 4/16,AI,"[<a href=""https://docs.google.com/presentation/d/186-ID-O0M3QT7ONLeX1Y8IiurIHT9ORFfg6wwvLo7fU/edit#slide=id.p"">gdoc</a>]","(a) <a href=""/assets/ecs188/joy.pdf"">Read Why the Future Doesn’t Need Us</a> (2000) by Bill Joy. (b) Read a response to this, <a href=""/assets/ecs188/kurzweil.pdf"">Promise and Peril</a> (2001) by Ray Kurzweil.<br>
<br>
<b>Final Paper: Milestone 1 due</b>","Watch this <a href=""https://youtu.be/8nt3edWLgIg"">Ted Talk</a> by Sam Harris ","Richard Boehm, Alex Butterfield, Kai Yan",,,
Wednesday 4/18,Dangers of tech: smartphones,"[<a href=""https://docs.google.com/presentation/d/1IeIunXtoe308UAgoIKXHKqDMwvC_Vk2KUb0PpvcRW2s/edit#slide=id.p"">gdoc</a>]","Read: (a) <a href=""/assets/ecs188/smartphone.pdf"">Have Smartphones Destroyed a Generation?</a> by J. Twenge (2017); (b) <a href=""https://www.vice.com/en_us/article/vv5jkb/the-secret-ways-social-media-is-built-for-addiction"">Your Addiction to Social Media is No Accident</a> by J. Morgans (2017); (c) <a href=""https://medium.com/thrive-global/how-technology-hijacks-peoples-minds-from-a-magician-and-google-s-design-ethicist-56d62ef5edf3"">How Technology is Hijacking Your Mind</a> by T. Harris (2016); and listen to the Fresh Air audio (d) <a href=""http://www.npr.org/sections/alltechconsidered/2017/03/13/519977607/irresistible-by-design-its-no-accident-you-cant-stop-looking-at-the-screen"">‘Irresistible’ by Design</a> (2017).<br>
<br>
<b>Required reading report due</b>","Read: <a href=""https://www.littlethings.com/dangers-of-using-smartphones/"">The Eight Dangers of Excessive Smartphone Use</a> by Angel Chang","Anushka Singh, Svetana Vanzina",,,
Friday 4/20,Dangers of tech: Google,"[<a href=""https://docs.google.com/presentation/d/1VETNRUYm383MSIycGdKWhfJ29WEKKsEZ-igTvwc-1MU/edit#slide=id.p"">gdoc</a>]","Read the paper ""<a href=""/assets/ecs188/carr.pdf"">Is Google making us stupid</a>?"" by Nicholas Carr as well as the article: <a href=""http://discovermagazine.com/2009/feb/15-how-google-is-making-us-smarter"">How Google is making us smarter</a> by Carl Zimmer.",,Christie Frush,,,
Friday 4/20 Discussion,No discussion,,,,,table-danger,,
Monday 4/23,Money: cryptocurrencies,"[<a href=""https://docs.google.com/presentation/d/1diyNg6VCQ_DWik2frqn28V2oQ3bsoKqWL07m3oju-gk/edit#slide=id.p"">gdoc</a>]","Read <a href=""https://www.theatlantic.com/technology/archive/2017/05/blockchain-of-command/528543/"">Cryptocurrency Might be a Path to Authoritarianism</a> by Ian Bogost in The Atlantic",,"Louie Shi, Itzel Hernandez",,,
Wednesday 4/25,Money: 2007 financial meltdown,,"In class: watch ""The Big Short""",,None,,,
Friday 4/27,Money: 2007 financial meltdown,,"In class: watch ""The Big Short""",,None,,,
Friday 4/27 Discussion,Money: 2007 financial meltdown,,"In class: watch ""The Big Short""",,Lucille Cao,,,
Monday 4/30,<i>Student selection:</i> E-gambling,"[<a href=""https://docs.google.com/presentation/d/1Dc5W_XQF7kL8yIRqMZRy1VVrX926s9ssEJTcQQJN3vU/edit?usp=sharing"">gdoc</a>]","Read the <a href=""https://www.economist.com/blogs/economist-explains/2017/07/economist-explains-12?zid=291&ah=906e69ad01d2ee51960100b7fa502595""> How data changed gambling</a> <a href =""https://www.aljazeera.com/indepth/features/2016/08/czech-republic-dangerous-gambling-addiction-160829110812215.html> A dangerous gambling addiction </a>(Optional Reading:) <a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4610999/""> What is online gambling addiction</a>",,"Chris Lopez, Dongzhao Jiang",,,
