date,topic,slides,required_reading,optional_reading,disc_leaders,row_class
1/8,Intro,"[<a href=""https://docs.google.com/presentation/d/1xBxooPbnthLNxq7XSrGHB6AsjqF2s5X86syrwnnPfM8/edit?usp=sharing"">gdoc</a>]",None,,,
1/10,History,"[<a href=""/assets/w19-ecs251/history.pdf"">pdf</a>]",OSTEP chapter 2.6 and chapter 5,,,
1/15,Threads1,,,,,
1/17,Threads2,,<b>Quiz 1 in class</b>,,,
1/22,Threads3,,<b>Project groups due</b>,,,
1/24,,,"<b>Project choice due</b>, <b>Quiz 2 in class</b>",,,
1/29,Threads4,,,,,
1/31,VirtualMem1,,<b>Quiz 3 in class</b>,,,
2/5,VirtualMem2,,,,,
2/7,VMM,,"<a href=""/assets/ecs251/whitaker02.pdf"">Scale and performance in the Denali isolation kernel</a>. Whitaker, A., Shaw, M., and Gribble, S. D. 2002. In Proceedings of the 5th Symposium on Operating Systems Design and Implementation <br><b>Project proposal due</b>, <b>Quiz 4 in class</b>",,,
2/12,Exokernel,,"<a href=""/assets/ecs251/kaashoek97.pdf"">Application performance and flexibility on exokernel systems</a>. M. Frans Kaashoek, Dawson R. Engler, Gregory R. Ganger, Héctor M. Briceño, Russell Hunt, David Mazières, Thomas Pinckney, Robert Grimm, John Jannotti, and Kenneth Mackenzie. In the Proceedings of the 16th ACM Symposium on Operating Systems Principles (SOSP '97), Saint-Malô, France, October 1997.",,,
2/14,Monolithic,,"Adam Belay, Andrea Bittau, Ali Mashtizadeh, David Terei, David Mazières, and Christos Kozyrakis. 2012. Dune: Safe User-level Access to Privileged CPU Features. In Proceedings of the 10th Symposium on Operating Systems Design and Implementation (OSDI). <br> <b>Sprint planning 1 due</b>",,,
2/19,BigTable,,"<a href=""https://research.google.com/archive/bigtable-osdi06.pdf"">Bigtable: A Distributed Storage System for Structured Data.</a>  Fay Chang , Jeffrey Dean , Sanjay Ghemawat , Wilson C. Hsieh , Deborah A. Wallach , Mike Burrows , Tushar Chandra , Andrew Fikes , Robert E. Gruber, OSDI'06: Seventh Symposium on Operating System Design and Implementation,
Seattle, WA, November, 2006.",,,
2/21,Raft,,In Search of an Understandable Consensus Algorithm (Extended Version) by Diego Ongaro and John Ousterhout. A slightly shorter version of this paper received a Best Paper Award at the 2014 USENIX Annual Technical Conference.<br><b>Sprint planning 2 due</b>,,,
2/26,Two Phase Commit,,TBD,,,
2/28,Spanner,,"Spanner: Google's Globally-Distributed Database. James C. Corbett, Jeffrey Dean, Michael Epstein, Andrew Fikes, Christopher Frost, JJ Furman, Sanjay Ghemawat, Andrey Gubarev, Christopher Heiser, Peter Hochschild, Wilson Hsieh, Sebastian Kanthak, Eugene Kogan, Hongyi Li, Alexander Lloyd, Sergey Melnik, David Mwaura, David Nagle, Sean Quinlan, Rajesh Rao, Lindsay Rolig, Yasushi Saito, Michal Szymaniak, Christopher Taylor, Ruth Wang, and Dale Woodford. Published in the Proceedings of OSDI'12: Tenth Symposium on Operating System Design and Implementation, Hollywood, CA, October, 2012. <br><b>Sprint planning 3 due</b>",,,
3/5,Final presentations,,,,,table-warning
3/7,Final presentations,,,,,table-warning
3/12,Final presentations,,,,,table-warning
3/14,Final presentations,,,,,table-warning
3/20,Final project due,,<b>Final project due @ 12:30pm</b>,,,
