date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
3/29/2021,Welcome,"[<a href=""https://docs.google.com/presentation/d/1suUMTfUDNDsieZiocKuwa2AJxvehjQ3eRSN0KyakVp8/edit?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/NMZn6NU043c"">Video</a>]",,None
3/31/2021,P: Processes,"[<a href=""https://drive.google.com/file/d/1wU96BDvaPTBTfvMCjNmoW7bHSVzkHHaG/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/GRbSZrCSn4U"">Video</a>] [<a href=""https://github.com/kingst/LectureProgrammingSpring2021/releases/tag/2021-04-01"">Source</a>]",,OSTEP: Processes
4/2/2021,P: Process API,"[<a href=""https://docs.google.com/presentation/d/1wU96BDvaPTBTfvMCjNmoW7bHSVzkHHaG/edit#slide=id.gcc1489a23c_0_81"">Slides</a>] [<a href=""https://youtu.be/4iyzDsvabno"">Video</a>]",,OSTEP: Process API
4/5/2021,P: Direct Execution,"[<a href=""https://drive.google.com/file/d/1Pxf6oa3NizMUzRXI7FoVKNHrFFvjq6RO/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/YaNc-D_p-pE"">Video</a>] [<a href=""https://github.com/kingst/LectureProgrammingSpring2021/releases/tag/2021-04-05"">Source</a>]",,OSTEP: Direct Execution
4/7/2021,A: Address space and translation,"[<a href=""https://drive.google.com/file/d/15j1yvnO2HLk89vamoPuALQfb_sg4LxZt/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/WVgZ2tWTr9U"">Video</a>] [<a href=""https://github.com/kingst/LectureProgrammingSpring2021/releases/tag/2021-04-08"">Source</a>]",,"OSTEP: Address Space, Address translation"
4/9/2021,A: Introduction to paging,"[<a href=""https://drive.google.com/file/d/15j1yvnO2HLk89vamoPuALQfb_sg4LxZt/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/7PgXtYkv2QE"">Video</a>]",,OSTEP: Introduction to paging
4/12/2021,T: Concurrency and threads,"[<a href=""https://drive.google.com/file/d/1t8y6-nuLTceoo_ThUrDcLB9iSj87_oYb/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/W76hQNILzpE"">Video</a>] [<a href=""https://github.com/kingst/LectureProgrammingSpring2021/releases/tag/2021-04-12"">Source</a>]",,OSTEP: Concurrency and threads
4/14/2021,T: Concurrency and threads,"[<a href=""https://drive.google.com/file/d/1t8y6-nuLTceoo_ThUrDcLB9iSj87_oYb/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/IGVaBn8HzTg"">Video</a>] [<a href=""https://github.com/kingst/LectureProgrammingSpring2021/releases/tag/2021-04-14"">Source</a>]",,OSTEP: Thread API
4/16/2021,T: Atomicity,"[<a href=""https://drive.google.com/file/d/1wVqVuwMYBFCF-eiIxcu1SL4obvWkAJ-T/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/FccLrm-X-r8"">Video</a>]",,OSTEP: Concurrency and threads
4/19/2021,T: Synchronization,"[<a href=""https://drive.google.com/file/d/1wVqVuwMYBFCF-eiIxcu1SL4obvWkAJ-T/view?usp=sharing"">Slides</a>] [<a href=""https://youtu.be/YjlKBjT0jpw"">Video</a>]",,OSTEP: Concurrency and threads
4/21/2021,T: Locks,,,OSTEP: Locks
4/23/2021,T: Monitors & condition variables,,,OSTEP: Locked data structures
4/26/2021,T: Monitors & condition variables,,,OSTEP: Condition variables
4/28/2021,T: Thread implementation,,,OSTEP: Concurrency bugs
4/30/2021,T: Thread implementation
5/3/2021,Midterm 1,,,TBD
5/5/2021,T: Lock implementation,,,TBD
5/7/2021,Network programming,,,TBD
5/10/2021,Network programming,,,TBD
5/12/2021,APIs and distributed systems,,,TBD
5/14/2021,APIs and distributed systems,,,TBD
5/17/2021,APIs and distributed systems,,,TBD
5/19/2021,File systems,,,TBD
5/21/2021,File systems,,,TBD
5/24/2021,File systems,,,TBD
5/26/2021,REDO LECTURE,,,TBD
5/28/2021,REDO LECTURE,,,TBD
5/31/2021,No class -- memorial day,,,,,danger
6/2/2021,Midterm 2,,,TBD
