date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
4/1/24,Welcome,,,None,,
4/3/24,P: Processes,,,OSTEP: Processes,,
4/5/24,P: Process API,,,OSTEP: Process API,,
4/8/24,P: Direct Execution,,,OSTEP: Direct Execution,,
4/10/24,A: Address space and translation,,,"OSTEP: Address Space, Address translation",,
4/12/24,A: Introduction to paging,,,OSTEP: Introduction to paging,,
4/15/24,T: Concurrency and threads,,,OSTEP: Concurrency and threads,,
4/17/24,T: Concurrency and threads,,,OSTEP: Thread API,,
4/19/24,T: Atomicity,,,OSTEP: Concurrency and threads,,
4/22/24,T: Synchronization,,,OSTEP: Concurrency and threads,,
4/24/24,T: Locks,,,OSTEP: Locks,,
4/26/24,T: Monitors & condition variables,,,OSTEP: Locked data structures,,
4/29/24,T: Monitors & condition variables,,,OSTEP: Condition variables,,
5/1/24,T: Monitors & condition variables,,,OSTEP: Concurrency bugs,,
5/3/24,Midterm review,,,None,,
5/6/24,Midterm 1,,,None,,
5/8/24,T: Semaphores,,,OSTEP: Semaphores,,
5/10/24,Midterm results,,,,,
5/13/24,TI: Thread implementation,,,,,
5/15/24,TI: Thread implementation,,,,,
5/17/24,TI: Thread implementation,,,,,
5/20/24,F: File systems,,,,,
5/22/24,F: File systems,,,,,
5/24/24,F: File systems,,,,,
5/27/24,No class -- memorial day,,,,,danger
5/29/24,Networking and APIs,,,,,
5/31/24,Networking and APIs,,,,,
6/3/24,Advanced Topics,,,,,
6/5/24,Final review,,,,,
