date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
9/24/2026,Intro,,,,,
9/29/2026,AI tools,,,,,
10/1/2026,In class: Build Water Llama,,,Homework Part 1: Proposal (Due: 10/1),,
10/6/2026,AI-based products,,,,,
10/8/2026,Mobile apps,,,,,
10/13/2026,First-user experience,,,,,
10/15/2026,Individual milestone meetings,,,Homework Part 2: First cut of your app (Due: 10/14),,
10/20/2026,Servers,,,,,
10/22/2026,Individual milestone meetings,,,Homework Part 3: User testing (Due: 10/21),,
10/27/2026,Innovation,,,,,
10/29/2026,Pitching and group formation,,,,,
11/3/2026,Customer discovery,,,,,
11/5/2026,Milestone 0,,,Group Milestone 0 (Due: 11/4),,
11/10/2026,Post-usage interviews,,,,,
11/12/2026,Milestone 1,,,Group Milestone 1 (Due: 11/11),,
11/17/2026,TBD,,,,,
11/19/2026,Milestone 2,,,Group Milestone 2 (Due: 11/18),,
11/24/2026,TBD,,,,,
12/1/2026,Demos and presentations,,,,,
12/3/2026,Milestone 3,,,Group Milestone 3 (Due: 12/2),,
