date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
1/8/2024,Intro,"[<a href=""https://docs.google.com/presentation/d/1tG0_-AMGMWl9NmLMJQjIQ4794kW1H3HzyMXaRcR-xBE/edit?usp=sharing"">Slides</a>]",,,,
1/10/2024,First iOS app,"[<a href=""https://docs.google.com/presentation/d/1awLtUqdCVVUcN-zfaqEdwFF3kDVTTqM5kZf-z4_Beq0/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/releases/tag/2024-01-10"">Source</a>]",,,,
1/12/2024,"UI Widgets, Swift, and Swift UI",,,Homework 1 out,,
1/15/2024,No class,,,,,table-danger
1/17/2024,"UI Widgets, Swift, and Swift UI",,,,,
1/19/2024,Swift optionals,,,"Homework 2 out, Homework 1 due",,
1/22/2024,Higher order functions to unwrap optionals,,,,,
1/24/2024,Closures,,,,,
1/26/2024,Higher order functions on arrays,,,"Homework 3 out, Homework 2 due",,
1/29/2024,Protocols and delegates,,,,,
1/31/2024,(buffer),,,,,
2/2/2024,Navigation and modals,,,"Homework 4 out, Homework 3 due",,
2/5/2024,Project intro,,,,,
2/7/2024,API Calls,,,,,
2/9/2024,No class,,,,,table-danger
2/12/2024,Threads,,,Homework 4 due,,
2/14/2024,Dispatch queues,,,,,
2/16/2024,Dispatch queues,,,Sprint planning due,,
2/19/2024,Monitors,,,,,
2/21/2024,Async / await,,,,,
2/23/2024,Milestone 1 meetings,,,Milestone 1 and sprint planning due (2/22),,
2/26/2024,Actors,,,,,
2/28/2024,Actors,,,,,
3/1/2024,Milestone 2 meetings,,,Milestone 2 and sprint planning due (2/29),,
3/4/2024,Info about project demo + final project + advanced topics,,,,,
3/6/2024,VC and app ilfecycle + advanced topics,,,,,
3/8/2024,"No class, work on your projects",,,Sprint planning due,,
3/11/2024,Demos,,,,,
3/13/2024,Demos,,,,,
3/15/2024,Demos,,,,,
