date,topic,slides,required_reading,optional_reading,disc_leaders,table_class
1/6/2026,Intro,"[<a href=""https://docs.google.com/presentation/d/1nELbBDeEnX7-_Nyy-XVzpZXGexb0Rp6KngURhuVqsDk/edit?usp=sharing"">Slides</a>]",,,,
1/8/2026,AI tools,"[<a href=""https://docs.google.com/presentation/d/1AVisNPtD-Zi5JDbNGIGaAAa9ObguC5wky8RQ9OGMgWg/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/95a71174f43626ce977acd833385cd4e2111bba7/inclass_programming/w26-ecs191"">Source</a>]",,HW1 due on 1/12,,
1/13/2026,AI-based products,"[<a href=""https://docs.google.com/presentation/d/17QtfvPFjDgrpzaxiPCe9gG3SEKa-sZiuOLK-JeE9riM/edit?usp=sharing"">Slides</a>]",,,,
1/15/2026,Mobile apps (UI/UX),"[<a href=""https://docs.google.com/presentation/d/1n_g7N0FdSctsdrT8NRX7WBNeHHOvjL_C2e3MRkRR1Sg/edit?usp=sharing"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/d76dc0e7aef855b2e61de57fb522cf1751787c8e/inclass_programming/w26-ecs191"">Source</a>]",,,,
1/20/2026,Innovation,,,,,
1/22/2026,Pitching + team formation,"[<a href=""https://docs.google.com/presentation/d/15TZ1qmDnINubK8NW8jEkq_JejRPCz15_3SYIUrxMl2Q/edit?usp=sharing"">Slides</a>]",,HW2 and project proposals due on 1/23,,
1/27/2026,"Mobile apps (APIs, async / await)","[<a href=""https://docs.google.com/presentation/d/1dGLvse7hHsVhcoVnRBVoRqmvEyW8jIIT2_h1uC3H1bY/edit?slide=id.p#slide=id.p"">Slides</a>] [<a href=""https://github.com/kingst/kingst-ucdavis/tree/e0407e929e4970c8507cc59a4c643257940f2c2d/inclass_programming/w26-ecs191"">Source</a>]",,,,
1/29/2026,Servers (Python + AppEngine),,,,,
2/3/2026,Milestone 0,,,Submit Milestone 0 to Canvas on 2/2,,
2/5/2026,Customer discovery,,,,,
2/10/2026,TBD (maybe MCP),,,,,
2/12/2026,TBD (maybe MCP part 2),,,,,
2/17/2026,Milestone 1,,,Submit Milestone 1 to Canvas on 2/16,,
2/19/2026,Getting your first customers,,,,,
2/24/2026,Beachhead markets,,,,,
2/26/2026,Measuring and iterating,,,,,
3/3/2026,Milestone 2,,,Submit Milestone 2 to Canvas on 3/2,,
3/5/2026,Pitching,,,,,
3/10/2026,Demos,,,,,
3/12/2026,[Optional] Milestone 3,,,,,
